#Version 6.4.1.1 ,,,,,,,,,,,,,,,,
,272,infeas,10480,0.721821095,0.784107717,221.6666667,686.3333333,85.66666667,191.3333333,37,103,104,0.804608818,0.159505631,0.833515806,0.156958918
,273,infeas,10500,0.825796884,0.90937962,252,777.3333333,54,78,38,102,104,0.80468643,0.159217316,0.833793696,0.156737391
,274,,13080,1,1,312.3333333,907.3333333,0,0,54,102,135,0.805399253,0.159362857,0.834400288,0.156771942
,275,infeas,10525,0.688251103,0.740494979,209,660.3333333,95,230,38,103,104,0.80497326,0.159228566,0.834058814,0.156588024
,276,infeas,10505,0.812968961,0.909177889,246.6666667,811,54.33333333,81.66666667,37,104,104,0.80500223,0.158939525,0.834330985,0.156368448
,277,infeas,10550,0.702889253,0.766530425,211.6666667,675.6666667,89.33333333,209,38,104,104,0.804633591,0.158769919,0.834086217,0.156138067
,278,infeas,11400,0.444434742,0.397509102,124.6666667,354,159.6666667,533.3333333,70,90,100,0.803337911,0.159948699,0.832515796,0.158040168
,279,,11355,1,0.987156015,294.3333333,876.3333333,0,12,45,90,118,0.804042793,0.160094293,0.833070062,0.158027094
,280,infeas,11175,0.440887457,0.391545735,127.3333333,340.6666667,160.6666667,549.6666667,65,90,100,0.80274581,0.161274066,0.83149319,0.159935245
,281,infeas,11130,0.447158582,0.413720483,136,354,168.6666667,499.3333333,64,90,100,0.801480375,0.162377359,0.830006454,0.161582937
,282,infeas,10815,0.668877798,0.594364189,193,527,95,357.3333333,57,90,100,0.801010153,0.162280401,0.829170843,0.161904404
,283,infeas,10635,0.660312742,0.597961459,194.6666667,509.6666667,94.66666667,355.6666667,53,90,100,0.800512989,0.162208175,0.828353849,0.162200428
,284,infeas,10095,0.668690162,0.671972805,200,565.3333333,97,292,41,90,100,0.800048824,0.162110166,0.827803211,0.162179294
,285,infeas,10555,0.788074474,0.895667894,244.6666667,788.3333333,66.66666667,92.66666667,39,100,105,0.800006809,0.161826064,0.828041333,0.161943417
,286,infeas,10795,0.798228162,0.874038615,238,785.6666667,62,115.3333333,37,106,108,0.80000059,0.161541943,0.828202163,0.161681935
,287,infeas,10730,0.806743669,0.929167812,247,824.6666667,60,62.33333333,35,107,108,0.800024085,0.161259771,0.828553959,0.161509026
,288,infeas,10770,0.546159186,0.52861252,162.6666667,469.6666667,133.3333333,412,53,93,101,0.79914261,0.16167214,0.827512496,0.162193262
,289,infeas,10305,0.43032156,0.489828422,128.6666667,424,171.6666667,442.3333333,39,102,100,0.797866412,0.162842908,0.826344039,0.163125354
,290,infeas,10995,0.90027555,0.791186148,278.3333333,711.3333333,31,186.6666667,53,90,106,0.798219547,0.162672123,0.826222805,0.162855972
,291,infeas,10680,0.808362176,0.922074607,246,823.3333333,57,70.33333333,35,105,108,0.798254402,0.162392501,0.826552193,0.162672016
,292,infeas,10600,0.723966625,0.652892144,219,563,83,303.6666667,50,94,100,0.797999991,0.162171516,0.825957466,0.162709955
,293,infeas,10510,0.67595567,0.664577387,204.3333333,562.6666667,97,291.3333333,45,97,101,0.797583458,0.162050514,0.825406681,0.162704484
,294,infeas,10820,0.647086072,0.591349807,193.3333333,533.6666667,107.3333333,365.3333333,53,95,101,0.797071562,0.162011673,0.824610569,0.162999184
,295,infeas,10610,0.899171889,0.937665975,265.6666667,841.6666667,29.66666667,55.66666667,41,101,104,0.797417665,0.161845115,0.824993808,0.162854816
,296,infeas,9915,0.494457378,0.473165355,144.6666667,423,156.3333333,468.3333333,37,90,100,0.79639415,0.16252733,0.823805198,0.163859616
,297,infeas,10545,0.862413449,0.930990827,264.6666667,796.6666667,43.33333333,59,39,102,104,0.796616438,0.162297775,0.824166093,0.163700786
,298,,10730,0.96263951,0.973390967,285,845.6666667,10.66666667,22.66666667,41,101,106,0.797173562,0.162309502,0.824666847,0.163653425
,299,infeas,10775,0.906022318,0.979897113,266.3333333,875.3333333,28,17.66666667,35,104,110,0.797537605,0.162159169,0.825186012,0.163625058
,300,infeas,10625,0.87892171,0.902366126,260,804,35.66666667,86.33333333,40,101,105,0.797808885,0.161955948,0.825443279,0.163411974
,301,infeas,10590,0.628504231,0.678491027,194.3333333,598,113.6666667,287,40,102,104,0.797246411,0.161980017,0.824955066,0.163359131
,302,infeas,10670,0.826838513,0.786747507,238.6666667,709.6666667,52,192,44,98,104,0.797344398,0.161719689,0.824828551,0.163102363
,303,infeas,10550,0.714128084,0.761562739,218.6666667,664,88,207.6666667,41,101,103,0.797069757,0.161522482,0.824619752,0.16287266
,304,infeas,10485,0.443745833,0.444401301,128.3333333,389,164.3333333,480.3333333,45,96,101,0.795907507,0.162524025,0.823369034,0.164059441
,305,infeas,10420,0.898932383,0.897118047,263,776,29.33333333,89.33333333,43,97,101,0.796245294,0.162363699,0.823610834,0.163843812
,306,infeas,10515,0.597414913,0.581969014,164.6666667,515,116.3333333,365.6666667,47,96,100,0.795595521,0.162495331,0.822821155,0.164157237
,307,infeas,10530,0.627566731,0.624975256,191,550.6666667,115.3333333,334.3333333,43,99,102,0.795048196,0.162512797,0.822176706,0.164277315
,308,infeas,10765,0.896067435,0.918093019,280.3333333,796.6666667,32,71,38,103,108,0.795376181,0.162349975,0.822488122,0.16410058
,309,infeas,10545,0.709017918,0.708805475,214.6666667,636.6666667,89.66666667,259.6666667,42,99,103,0.795096704,0.16216064,0.822120217,0.16396156
,310,infeas,10845,0.922192869,0.935986092,277,830.6666667,24,56.33333333,43,102,106,0.795506692,0.16205888,0.822487526,0.163823734
,311,infeas,10350,0.647612729,0.698549836,195.6666667,615.3333333,105.3333333,268.3333333,39,99,102,0.795031148,0.162014477,0.822089013,0.163710207
,312,infeas,10800,0.869089515,0.98459364,259.6666667,861.6666667,39,13.66666667,35,105,110,0.795268515,0.161808124,0.822609861,0.163705513
,313,infeas,10755,0.827846008,0.904060194,258,792.6666667,53.66666667,83.66666667,41,102,106,0.795372596,0.161559102,0.822870086,0.163507781
*,314,,10635,0.975392583,0.977549763,289.6666667,856.3333333,7.333333333,20,40,99,106,0.795945908,0.16162042,0.823362696,0.163479591
,315,infeas,10575,0.175879526,0.227631934,53.33333333,197.3333333,251,671.3333333,44,99,102,0.793977444,0.165101637,0.821471488,0.166634674
,316,infeas,10505,0.695518146,0.667791809,199.3333333,586.6666667,86.66666667,294.3333333,43,98,102,0.793665864,0.16493239,0.820985159,0.166594429
,317,infeas,10470,0.400074533,0.393948276,120.3333333,335.6666667,183.3333333,514,46,96,100,0.792424251,0.166148419,0.81963804,0.16805102
,318,infeas,10605,0.762301111,0.81378039,240,706.6666667,74.33333333,159.6666667,42,99,104,0.792329524,0.165894749,0.81961962,0.167786068
,319,infeas,10760,0.814006404,0.917792182,254.6666667,796,58.66666667,70.66666667,39,101,108,0.792397476,0.165638149,0.819927371,0.167612196
,320,infeas,10555,0.35043818,0.360558258,105.6666667,314.6666667,195.3333333,567.3333333,46,97,101,0.791016354,0.167213606,0.818491842,0.169308055
,321,infeas,10200,0.440256419,0.516154916,131.6666667,462.6666667,168.6666667,430,40,96,100,0.789923643,0.168096082,0.817549983,0.169883482
,322,infeas,10905,0.932675575,0.890859444,277.3333333,795.6666667,20,97.33333333,46,99,106,0.790366972,0.168022478,0.817777652,0.169667852
,323,infeas,10785,0.823058803,0.938298953,247.3333333,839.3333333,53.33333333,55,35,102,111,0.790468186,0.167771232,0.818150783,0.169536866
,324,infeas,10575,0.789041466,0.860612043,236,770,67,127.6666667,40,99,105,0.790463782,0.167511342,0.818281836,0.169290658
,325,infeas,10620,0.837489305,0.888032997,254.6666667,774.3333333,49,98,41,99,105,0.790608476,0.167272977,0.818496455,0.169073481
,326,infeas,10450,0.7494836,0.752739936,220.6666667,640.6666667,72.33333333,209.6666667,45,97,100,0.790482326,0.167030966,0.818294748,0.168852448
,327,infeas,10535,0.492267303,0.461022281,156,408,162.6666667,471.6666667,45,98,101,0.789570353,0.167587967,0.817202171,0.169746986
,328,infeas,10415,0.600089309,0.584118573,179,488.6666667,122.6666667,375.6666667,41,98,102,0.788992667,0.167658278,0.816491551,0.169975165
,329,infeas,10695,0.931468458,0.924746926,272.6666667,814.6666667,20,66.66666667,44,99,104,0.789425725,0.167586692,0.816820594,0.169820769
,330,infeas,10695,0.920922874,0.942707678,276.6666667,798.3333333,24.66666667,50.33333333,40,99,107,0.789824201,0.167488304,0.81720207,0.169704036
,331,infeas,10680,0.754447184,0.808496067,229,716,74,174.3333333,41,99,106,0.789717322,0.167245646,0.817175768,0.169447389
,332,infeas,10370,0.352722416,0.430230403,105.6666667,368.3333333,196,490,40,98,102,0.788401072,0.168706241,0.81601027,0.170518788
,333,infeas,11735,0.885869584,0.996061583,263.3333333,922.3333333,35,3.666666667,35,104,126,0.78869377,0.168536632,0.816550965,0.170547441
,334,infeas,10725,0.882285759,0.877527602,264.3333333,779.3333333,35.33333333,108.3333333,42,99,106,0.788973986,0.168361287,0.81673353,0.170323854
,335,infeas,10460,0.599138561,0.577318604,174,508,118.3333333,381,42,98,102,0.788407313,0.168428712,0.816018858,0.170570986
,336,infeas,10445,0.721157085,0.724228125,216.6666667,644.3333333,83.33333333,244.3333333,43,98,101,0.788207163,0.16821715,0.815745672,0.170389812
,337,infeas,10475,0.755952904,0.77936928,220.6666667,688.6666667,69.66666667,196.6666667,41,98,103,0.788111453,0.16797583,0.81563773,0.170147606
,338,infeas,10595,0.652915149,0.678054878,202.3333333,587.6666667,111.3333333,284.3333333,45,98,102,0.787711464,0.167887551,0.81523068,0.170059711
,339,infeas,10490,0.494844812,0.522871461,151,465.6666667,153,426,44,98,101,0.786847551,0.168391954,0.814368263,0.170548755
,340,infeas,10520,0.805083515,0.803960245,227.6666667,721.3333333,57.66666667,172.6666667,42,98,103,0.786901186,0.168146313,0.814337651,0.170297958
,341,infeas,10535,0.736961423,0.728127863,215,645.6666667,76,241.6666667,41,98,104,0.786754735,0.167920636,0.814084837,0.170111408
,342,infeas,10700,0.79844369,0.785439913,238,723,61.66666667,195,42,98,106,0.786788913,0.167675428,0.81400108,0.169868857
,343,infeas,10455,0.569661162,0.567205575,176.3333333,504,135,389.6666667,40,99,103,0.786155888,0.167840069,0.813281559,0.17014297
,344,infeas,10965,0.933258199,0.961246573,280.3333333,843,20,34.66666667,35,102,114,0.786583511,0.167782788,0.81371169,0.17008197
,345,infeas,10665,0.599354684,0.602204507,182.6666667,517,119,351.6666667,42,99,105,0.786040818,0.167841703,0.813098626,0.170215896
,346,infeas,10550,0.709712697,0.705117571,217.6666667,624,90.33333333,261.3333333,44,98,102,0.785820217,0.167648504,0.812786542,0.170068131
,347,infeas,10565,0.83995649,0.853725028,247.6666667,735,49.33333333,125,43,98,103,0.785976229,0.167431286,0.81290452,0.16983641
,348,infeas,10395,0.402611204,0.422531013,123.6666667,367.6666667,183.3333333,507,40,99,102,0.784874606,0.168448128,0.811782757,0.170877698
,349,infeas,10790,0.792495065,0.762932458,250,686,68.66666667,209.3333333,44,98,106,0.784896441,0.168206426,0.811642785,0.170652043
,350,infeas,10735,0.850873186,0.9673226,254,872.3333333,44,29.33333333,35,100,111,0.785084946,0.168002288,0.812087585,0.170610438
,351,infeas,10500,0.483534914,0.606291773,153.6666667,534.6666667,160.6666667,346,41,99,103,0.784225829,0.168532469,0.811501272,0.170720288
,352,infeas,10560,0.752012723,0.741573861,219.3333333,678.3333333,74,237.3333333,41,99,104,0.784134314,0.168300982,0.811302614,0.170517662
,353,infeas,11310,0.930843794,0.995350501,282.6666667,910.3333333,20.33333333,4.333333333,35,99,121,0.784549922,0.168243052,0.811823996,0.170556821
,354,infeas,10440,0.632930888,0.702938501,185.6666667,606.3333333,107.3333333,268,41,99,102,0.78412162,0.168197732,0.81151641,0.170413362
,355,infeas,11610,0.881005252,0.97737245,268.3333333,893,36.66666667,21,35,99,126,0.784394531,0.16803869,0.81198361,0.170400018
,356,,14085,0.975502465,0.966432437,297.3333333,848,7.333333333,30,84,129,118,0.784931351,0.16810726,0.812417455,0.170356628
,357,,13905,1,0.981176471,317,873.6666667,0,16,80,93,133,0.785533784,0.168256451,0.81289017,0.170351504
,358,infeas,12105,0.705326602,0.586423611,208.3333333,539,87.66666667,375.3333333,79,90,105,0.785309742,0.168074099,0.812257582,0.170533303
,359,infeas,12250,0.843006745,1,252.6666667,922.6666667,48.66666667,0,36,118,128,0.785470458,0.167866816,0.812780541,0.170582987
,360,infeas,11830,0.875505249,0.898002232,249.3333333,780,37.66666667,91.33333333,51,127,106,0.785720555,0.167700005,0.813017268,0.170404446
,361,,11855,0.985937605,0.999622926,310.6666667,880.3333333,4.333333333,0.333333333,39,92,130,0.786275172,0.167798139,0.813534181,0.170450797
,362,,13925,1,1,322.3333333,884.3333333,0,0,69,116,132,0.786865572,0.167941667,0.81404928,0.170496457
,363,infeas,12560,0.94036009,0.940184392,281.6666667,822.6666667,18,55,70,110,111,0.787288422,0.167902936,0.81439676,0.170389466
,364,,12005,0.998888889,1,304.3333333,880.6666667,0.333333333,0,49,104,120,0.787869742,0.168037916,0.814906659,0.170432478
,365,infeas,12905,0.490240124,0.504619923,149.3333333,451,154,433.3333333,80,125,103,0.787054319,0.16852852,0.814056558,0.170971355
,366,infeas,12375,0.802933434,0.718633341,240.3333333,646.6666667,59.66666667,258,85,90,105,0.787097704,0.168299547,0.813795839,0.170809828
,367,,13555,1,1,306,908.6666667,0,0,65,118,128,0.78767782,0.168436503,0.814303207,0.170853024
,368,infeas,11060,0.921725617,0.938601893,274.3333333,830.6666667,23,54.66666667,45,107,106,0.78804208,0.16835195,0.814640975,0.170743085
,369,infeas,10370,0.832135418,0.881621195,257,793,51.66666667,106.6666667,35,95,107,0.788161574,0.168138724,0.814822493,0.170546588
,370,infeas,10305,0.764692171,0.745863045,238.3333333,673.6666667,71.66666667,229.6666667,35,90,108,0.788098143,0.167915172,0.814636117,0.170353065
,371,,12485,0.9764841,0.973826656,287.6666667,846,7,22.66666667,74,119,103,0.788605922,0.167973091,0.815065202,0.17032334
,372,infeas,10335,0.675443141,0.778253991,203.6666667,699,96,201,35,96,106,0.788301721,0.167849136,0.814966247,0.170104346
,373,infeas,10920,0.728669605,0.76007344,225.6666667,666.6666667,85.66666667,211,43,105,106,0.788141849,0.167651815,0.814819081,0.169899333
,374,infeas,10835,0.841088425,0.8090799,266.3333333,695,50,164.6666667,45,98,106,0.788283418,0.167449313,0.814803736,0.169671693
,375,infeas,12680,0.55135739,0.526255821,165.3333333,473,137.6666667,433.3333333,75,125,103,0.787651615,0.167672275,0.814034275,0.170098604
,376,,13000,0.965069954,0.968129459,277,881.6666667,10.33333333,30,68,124,114,0.788123472,0.167698352,0.814444102,0.170057436
,377,infeas,12580,0.738953559,0.722561126,224,649,79,242.6666667,80,112,103,0.787993048,0.167494345,0.814200381,0.169897062
,378,infeas,11760,0.787935092,0.817011365,237.3333333,745.6666667,63.66666667,172.3333333,45,123,111,0.787992895,0.167272057,0.814207817,0.169671646
,379,infeas,11980,0.826243792,0.804884533,256.3333333,727,54.66666667,176,56,124,106,0.788093821,0.167062205,0.814183217,0.169447741
,380,,12075,0.961900831,0.998252841,289.3333333,918,11.66666667,1.666666667,39,108,127,0.788551208,0.167079732,0.814667611,0.169487287
,381,infeas,11965,0.92385874,0.89708757,279,774,22.66666667,91.33333333,57,112,110,0.788906345,0.167003675,0.814883937,0.16931679
,382,infeas,12680,0.678741777,0.669770601,198,583.6666667,94.66666667,290,79,113,105,0.788617957,0.166879582,0.814504059,0.169257367
,383,,12550,0.959610437,0.997421731,304,898.6666667,12.66666667,2.333333333,36,130,128,0.789064412,0.166889883,0.814981651,0.16929389
,384,infeas,10590,0.834212067,0.893731952,258.6666667,803,52.33333333,96.33333333,39,99,106,0.789181984,0.166687792,0.815186729,0.169120489
,385,infeas,10795,0.86373835,0.870749932,268.6666667,775.3333333,42.66666667,114,43,100,106,0.789375637,0.166513968,0.81533105,0.168923874
,386,infeas,10360,0.665788909,0.834611128,202.3333333,732.6666667,103.3333333,144.6666667,35,97,106,0.789055464,0.166416504,0.815380998,0.168707203
,387,infeas,10560,0.909454632,0.94358246,269.3333333,814.6666667,26.33333333,49.66666667,40,96,106,0.789366573,0.166313447,0.815712268,0.168614512
,388,infeas,10410,0.733088227,0.84222676,224,750.3333333,81.33333333,141.6666667,35,99,106,0.789221526,0.166123004,0.815780604,0.168401903
,389,infeas,13335,0.912199164,0.911171221,272,837.6666667,25.66666667,83.66666667,85,126,106,0.789537664,0.166025915,0.816025824,0.168254277
,390,infeas,10540,0.814398614,0.819683642,234.6666667,723.6666667,53.33333333,161,39,97,106,0.78960141,0.165817156,0.816035203,0.168037975
,391,infeas,10310,0.613410262,0.678672476,181,612.3333333,117.6666667,287.3333333,35,95,106,0.789150793,0.165843972,0.815683892,0.167966116
,392,infeas,10700,0.650863018,0.694966339,177,624.3333333,97.66666667,280.6666667,40,104,105,0.788798018,0.165778962,0.815375939,0.167861957
,393,infeas,10940,0.815924265,0.836579135,238.3333333,751.3333333,57,145,41,107,107,0.788867042,0.165573028,0.815429891,0.167651122
,394,infeas,10565,0.718729051,0.773383022,218.6666667,682.3333333,83.33333333,201.6666667,36,101,107,0.788689026,0.165399989,0.815323173,0.167451089
,395,infeas,10910,0.474417321,0.479746883,150.6666667,425,170,468,45,101,106,0.787893402,0.165945064,0.814473613,0.168088644
,396,,13305,1,0.99769495,297,877.3333333,0,2,79,90,125,0.788429025,0.166077264,0.814936293,0.168128036
,397,infeas,12670,0.900406599,0.986281053,273.3333333,845.3333333,30.33333333,12.33333333,36,118,135,0.788711084,0.16596262,0.815367892,0.168135681
,398,infeas,10655,0.758080982,0.829893129,224,736,73,150,41,98,106,0.788634124,0.165760578,0.815404388,0.167925368
,399,infeas,10610,0.723990388,0.885851871,220.6666667,781.6666667,84.33333333,101,37,101,107,0.788472109,0.165583833,0.815580948,0.167751352
,400,infeas,10980,0.635319315,0.523292625,184,458,115,416,58,90,102,0.788089227,0.165553401,0.814850227,0.168177197
,,,,,,,,,,,,,,,,
*,314,infeas,10635,0.875880397,0.892617441,261.8461538,787.4615385,36.53846154,95.53846154,40,99,106,,,,
*,234,infeas,10665,0.886008033,0.918843068,261.5384615,817.9230769,34.84615385,72.69230769,39,102,106,,,,
,298,infeas,10730,0.884499751,0.919418373,262.5384615,813.5384615,34.15384615,72.38461538,41,101,106,,,,
*,194,infeas,10790,0.946808854,0.964324622,277.8461538,850.1538462,15.53846154,31.84615385,40,98,109,,,,
,187,infeas,10805,0.878633782,0.904436167,253.6153846,803.2307692,35.84615385,84.76923077,40,101,108,,,,
*,143,infeas,10995,0.949665382,0.97218233,283.1538462,862,14.92307692,25.07692308,40,99,112,,,,
*,225,,11025,0.964294328,0.963937202,277.3076923,866.6923077,10.61538462,33.30769231,43,90,114,,,,
,85,infeas,11045,0.946534687,0.976417345,280.6923077,867.7692308,16.15384615,21.15384615,40,101,112,,,,
,171,infeas,11055,0.947251724,0.951855918,281.7692308,833.3076923,16.07692308,42.76923077,41,90,116,,,,
,100,infeas,11065,0.947364745,0.95212506,278.6153846,868.6923077,15.53846154,43.30769231,41,100,112,,,,
